1,281 Armistice Drive,Springfield,IL,62718
2,27 Jenifer Circle,El Paso,TX,79916
3,348 Trailsway Plaza,Battle Creek,MI,49018
4,28 Moose Trail,Youngstown,OH,44505
5,05 Beilfuss Hill,York,PA,17405
6,5743 Vernon Street,Lincoln,NE,68517
7,54 Hintze Hill,Houston,TX,77090
8,18 Stuart Circle,Washington,DC,20029
9,7 4th Junction,Eugene,OR,97405
10,009 Gulseth Pass,Canton,OH,44720
11,49 Loeprich Parkway,El Paso,TX,88530
12,334 Sunbrook Alley,Wilmington,DE,19897
13,200 Straubel Crossing,Eugene,OR,97405
14,194 Burning Wood Circle,Saint Petersburg,FL,33731
15,6874 Dennis Street,Silver Spring,MD,20904
16,8 Montana Hill,El Paso,TX,79940
17,18998 Lerdahl Avenue,Waco,TX,76796
18,519 Prairie Rose Court,Youngstown,OH,44511
19,06 Mccormick Avenue,Chicago,IL,60609
20,65300 Homewood Lane,Waco,TX,76705
21,6 Cambridge Way,Gainesville,FL,32610
22,20 Messerschmidt Park,Pensacola,FL,32520
23,9 Pepper Wood Street,Lansing,MI,48901
24,6860 Shopko Circle,Greensboro,NC,27404
25,8832 Mosinee Avenue,Pittsburgh,PA,15230
26,90 Bowman Junction,Lima,OH,45807
27,45044 Merchant Point,Fayetteville,NC,28314
28,274 Vera Street,Las Vegas,NV,89130
29,43595 Bluejay Court,Las Vegas,NV,89150
30,0742 Cardinal Street,Waco,TX,76711
31,550 Meadow Ridge Hill,Charlotte,NC,28256
32,4 Truax Court,Grand Rapids,MI,49544
33,681 Canary Hill,Bradenton,FL,34282
34,2 Lyons Way,Toledo,OH,43699
35,30982 Meadow Ridge Road,Washington,DC,20210
36,459 Dixon Park,Shawnee Mission,KS,66215
37,09 Hansons Lane,Chesapeake,VA,23324
38,64 Atwood Alley,Saint Paul,MN,55146
39,7204 Scott Drive,Fort Wayne,IN,46852
40,6443 Everett Way,Atlanta,GA,31119
41,3 Everett Terrace,Salt Lake City,UT,84120
42,38 Charing Cross Street,Washington,DC,20599
43,4024 Sugar Crossing,Tampa,FL,33686
44,9564 Eastwood Alley,Harrisburg,PA,17140
45,275 6th Point,Madison,WI,53705
46,7811 Mallory Center,Austin,TX,78749
47,72629 Claremont Hill,Reno,NV,89510
48,0 High Crossing Street,Wilkes Barre,PA,18768
49,6538 Village Place,Minneapolis,MN,55487
50,18211 Warrior Terrace,Toledo,OH,43699
51,13 Blackbird Plaza,Moreno Valley,CA,92555
52,7132 Onsgard Park,Albuquerque,NM,87140
53,220 Heffernan Street,Gadsden,AL,35905
54,718 Arkansas Park,Corpus Christi,TX,78465
55,22690 Parkside Pass,Inglewood,CA,90310
56,8 Clarendon Court,Nashville,TN,37240
57,246 Sutteridge Junction,Decatur,GA,30089
58,3 Chinook Drive,Saint Louis,MO,63167
59,30096 Fieldstone Park,Saint Louis,MO,63158
60,0 Rowland Place,Oklahoma City,OK,73157
61,612 Buena Vista Alley,Hartford,CT,06160
62,119 Monterey Court,Houston,TX,77266
63,0 Oakridge Parkway,Salem,OR,97312
64,681 Roxbury Circle,Newark,NJ,07104
65,614 Meadow Vale Plaza,Wilkes Barre,PA,18763
66,00 Bonner Court,Philadelphia,PA,19184
67,86385 Hudson Point,Mesa,AZ,85210
68,54 Memorial Park,Miami,FL,33233
69,27 Ruskin Center,Port Washington,NY,11054
70,443 Stoughton Hill,Rochester,NY,14609
71,3703 Delladonna Avenue,Chicago,IL,60652
72,98553 Northview Alley,Columbus,GA,31904
73,6681 Hanover Road,Jamaica,NY,11447
74,94702 Farragut Street,Detroit,MI,48275
75,6 Rigney Street,Saint Louis,MO,63196
76,9460 Vermont Point,Corona,CA,92878
77,2825 Little Fleur Crossing,Saint Petersburg,FL,33731
78,867 Park Meadow Place,Birmingham,AL,35295
79,4905 Delaware Alley,Wichita,KS,67205
80,02912 Red Cloud Hill,Houston,TX,77015
81,7 Bunker Hill Junction,Orlando,FL,32825
82,270 Starling Street,Stockton,CA,95219
83,1 Maryland Junction,Raleigh,NC,27605
84,3 5th Street,Harrisburg,PA,17105
85,751 Schmedeman Drive,El Paso,TX,79923
86,24848 Dovetail Alley,Pittsburgh,PA,15210
87,94 Kingsford Center,Lakewood,WA,98498
88,4155 Dunning Parkway,Peoria,IL,61605
89,04 Gina Center,Fort Smith,AR,72905
90,06575 Macpherson Drive,Kansas City,MO,64160
91,477 Mallard Trail,Beaumont,TX,77705
92,529 Sutherland Street,Mobile,AL,36616
93,17 Gerald Street,Minneapolis,MN,55470
94,0693 Morningstar Street,Salt Lake City,UT,84125
95,66 Merchant Crossing,Norcross,GA,30092
96,66 Granby Hill,Richmond,VA,23289
97,6802 Memorial Terrace,Terre Haute,IN,47812
98,1924 Fisk Junction,Spring,TX,77388
99,6594 Lakewood Lane,Birmingham,AL,35254
100,8042 Center Trail,West Palm Beach,FL,33411
101,86853 Surrey Way,Spokane,WA,99220
102,27 Basil Point,North Hollywood,CA,91606
103,678 Southridge Trail,Grand Rapids,MI,49505
104,946 4th Trail,Fullerton,CA,92640
105,0 Vahlen Plaza,Chicago,IL,60657
106,24945 Pepper Wood Parkway,New Orleans,LA,70165
107,5778 Shopko Parkway,Portland,OR,97206
108,5123 Iowa Park,Mobile,AL,36616
109,84 Charing Cross Park,Austin,TX,78703
110,71194 Truax Avenue,Waterbury,CT,06726
111,6 Moland Plaza,Houston,TX,77281
112,0 Red Cloud Center,Watertown,MA,02472
113,10 Debra Point,Reading,PA,19605
114,15 Farwell Point,Pocatello,ID,83206
115,8259 Reindahl Trail,Pompano Beach,FL,33064
116,417 Ramsey Crossing,Detroit,MI,48295
117,8666 Grayhawk Pass,Fort Worth,TX,76192
118,7 Fordem Parkway,Fresno,CA,93762
119,18253 Kensington Way,Boca Raton,FL,33487
120,4 Chive Junction,Bakersfield,CA,93311
121,3627 Thackeray Court,Sioux Falls,SD,57110
122,5 Pawling Junction,Minneapolis,MN,55446
123,56213 Brentwood Alley,Los Angeles,CA,90087
124,05793 Mifflin Street,Chicago,IL,60630
125,1225 Eggendart Court,Boulder,CO,80305
126,1 Sachs Parkway,San Antonio,TX,78278
127,23651 Kenwood Circle,Richmond,VA,23293
128,75142 Sycamore Avenue,Delray Beach,FL,33448
129,9663 Brown Alley,Frederick,MD,21705
130,2251 Golden Leaf Avenue,Silver Spring,MD,20918
131,66 Burrows Crossing,Springfield,MA,01129
132,57934 Village Alley,Kansas City,MO,64136
133,7342 Rusk Hill,Shawnee Mission,KS,66276
134,72 Beilfuss Hill,Palm Bay,FL,32909
135,4 Darwin Parkway,North Las Vegas,NV,89087
136,1 Holmberg Road,Sacramento,CA,94245
137,988 Leroy Trail,Boston,MA,02114
138,4 Parkside Pass,Charlotte,NC,28215
139,88773 Nova Plaza,Bryan,TX,77806
140,02 Pawling Circle,Salt Lake City,UT,84120
141,26231 Becker Place,White Plains,NY,10606
142,9622 Emmet Trail,Hartford,CT,06160
143,27 Eagan Circle,Scottsdale,AZ,85260
144,7 Loomis Hill,Bethlehem,PA,18018
145,436 Kingsford Terrace,Tempe,AZ,85284
146,1 Towne Way,Springfield,IL,62711
147,49058 Sunfield Lane,Washington,DC,20051
148,8 Ridgeview Street,Jackson,MS,39236
149,4 Dakota Lane,Winston Salem,NC,27157
150,29 Twin Pines Crossing,Atlanta,GA,30340
151,457 International Lane,Columbus,OH,43220
152,9241 Hooker Alley,Beaumont,TX,77705
153,48 Killdeer Point,Billings,MT,59105
154,52674 Meadow Vale Terrace,Pensacola,FL,32526
155,3 Thackeray Trail,Greensboro,NC,27415
156,6665 Saint Paul Road,Omaha,NE,68134
157,92 Glendale Road,Buffalo,NY,14205
158,1 Village Center,San Diego,CA,92137
159,4 Emmet Lane,Sacramento,CA,95813
160,0 Transport Court,Nashville,TN,37245
161,04852 Crowley Avenue,Houston,TX,77206
162,72 Lighthouse Bay Crossing,Oklahoma City,OK,73152
163,67 Sunbrook Terrace,Fargo,ND,58106
164,5 Sutherland Way,Everett,WA,98206
165,1847 Quincy Street,San Diego,CA,92115
166,938 Welch Parkway,Fort Wayne,IN,46896
167,4 Hoard Road,Waterloo,IA,50706
168,4 Messerschmidt Avenue,Milwaukee,WI,53263
169,8656 Loftsgordon Trail,Chattanooga,TN,37450
170,574 Center Circle,Pensacola,FL,32590
171,63959 Elmside Parkway,Dallas,TX,75241
172,466 Sundown Drive,San Antonio,TX,78278
173,18649 Derek Plaza,Cincinnati,OH,45249
174,336 Goodland Parkway,Durham,NC,27710
175,311 Division Terrace,Denver,CO,80291
176,80254 Mayer Point,Duluth,GA,30195
177,7 Fieldstone Lane,Irvine,CA,92612
178,77941 Homewood Court,Memphis,TN,38131
179,174 Crest Line Terrace,South Bend,IN,46614
180,71692 Lillian Point,New York City,NY,10155
181,9746 Alpine Alley,Albuquerque,NM,87180
182,1059 Delaware Place,Newport Beach,CA,92662
183,571 Shasta Alley,London,KY,40745
184,71531 Prairieview Road,Hyattsville,MD,20784
185,2 Burning Wood Circle,Greensboro,NC,27404
